"Run","p","OR","a","b","c","d","tissue"
"Run_Down24_Locus",0.0239079760818891,10.4894056784137,4,7,6,27,"Heart_Atrial_Appendage"
"Run_Down24_Locus",0.778249336870026,0.7570714724179,1,7,5,29,"Heart_Left_Ventricle"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Down24_Locus",0.706293706293706,1.15266621974303,1,4,3,13,"Liver"
"Run_Down24_Locus",0.0256814508538544,7.69127630735666,4,9,7,43,"Lung"
"Run_Down24_Locus",0.666666666666667,1.58108226280311,1,4,2,10,"Minor_Salivary_Gland"
"Run_Down24_Locus",0.117637168531981,3.46956556370973,4,9,10,42,"Muscle_Skeletal"
"Run_Down24_Locus",0.140953634908318,3.10164897367487,4,9,11,44,"Nerve_Tibial"
"Run_Down24_Locus",0.0545454545454545,Inf,2,3,2,11,"Ovary"
"Run_Down24_Locus",0.452540106951872,2.50893775046789,1,6,3,34,"Pancreas"
"Run_Down24_Locus",0.377990430622009,2.47749818521383,2,7,4,22,"Pituitary"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Prostate"
"Run_Down24_Locus",0.0183445022982892,9.1675339041956,4,8,7,41,"Skin_Not_Sun_Exposed_Suprapubic"
"Run_Down24_Locus",0.139514208657767,3.62177557902294,3,10,7,49,"Skin_Sun_Exposed_Lower_leg"
"Run_Down24_Locus",0.0980392156862746,Inf,2,6,2,18,"Small_Intestine_Terminal_Ileum"
"Run_Down24_Locus",0.701738874152667,1,1,6,5,30,"Spleen"
"Run_Down24_Locus",0.159383441919593,5.30718102446056,2,6,4,31,"Stomach"
"Run_Down24_Locus",0.776140155728587,0.756183266355678,1,8,5,33,"Testis"
"Run_Down24_Locus",0.0537773477999724,5.03359996923977,4,9,9,47,"Thyroid"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Uterus"
